tenant_id,yil,yil_durum,surec,kpi_id,pg,durum,etkin_hedef,config_hedef,snapshot_hedef,temel_hedef,cakisma,config_var,is_included,birim,periyot
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,FALLBACK,%90 - % 100,,,%90 - % 100,,,,%,6 ay
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,FALLBACK,%90 - % 100,,,%90 - % 100,,,,%,6 ay
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,SNAPSHOT,%90 - % 100,,%90 - % 100,%90 - % 100,,,,%,6 ay
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),YOK,,,,,,,,TL,Çeyreklik
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),YOK,,,,,,,,TL,Çeyreklik
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),YOK,,,,,,,,TL,Çeyreklik
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),YOK,,,,,,,,TL,Çeyreklik
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),YOK,,,,,,,,TL,Çeyreklik
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),SNAPSHOT,57,,57,,,,,TL,Çeyreklik
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,408,Stok Tutarı ( Pilli Baharat Değirmeni Malzemeleri ),SNAPSHOT,57,,57,,,,,TL,Çeyreklik
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,SNAPSHOT,%90-%100,,%90-%100,90-100,EVET,,,%,Çeyreklik
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,SNAPSHOT,90-100,,90-100,90-100,,,,%,Çeyreklik
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,FALLBACK,90-100,,,90-100,,,,%,Çeyreklik
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,FALLBACK,90-100,,,90-100,,,,%,Çeyreklik
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,SNAPSHOT,175,,175,90-100,EVET,,,%,Çeyreklik
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,SNAPSHOT,175,,175,90-100,EVET,,,%,Çeyreklik
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,401,İkramlardan Memnuniyetlik Oranı,SNAPSHOT,175,,175,90-100,EVET,,,%,Çeyreklik
16,2020,draft,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,YOK,,,,,,,,,Çeyreklik
16,2021,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,YOK,,,,,,,,,Çeyreklik
16,2022,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,YOK,,,,,,,,,Çeyreklik
16,2023,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,YOK,,,,,,,,,Çeyreklik
16,2024,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,YOK,,,,,,,,,Çeyreklik
16,2025,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,SNAPSHOT,98,,98,,,,,,Çeyreklik
16,2026,active,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",403,Araç Bakım/Onarım Maliyeti,SNAPSHOT,98,,98,,,,,,Çeyreklik
16,2020,draft,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2021,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2022,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2023,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
16,2024,closed,"SR11 - MAKİNA, TEKNOLOJİ VE BİLGİ YÖNETİMİ SÜREÇ KARNESİ",378,Araçsız Kalınan Gün Sayısı,FALLBACK,0,,,0,,,,Gün,Aylık
